Year,job_title,experience_level,employment_type,salary,salary_currency,salary_in_usd,company_location,employee_residence,% Remote_work,company_size
2023,Data Scientist,Senior/Expert,Full-time,81500,USD,81500,US,US,0,Medium
2023,Business Intelligence Analyst,Senior/Expert,Full-time,130000,USD,130000,US,US,0,Medium
2023,Business Intelligence Analyst,Senior/Expert,Full-time,80000,USD,80000,US,US,0,Medium
2023,Data Engineer,Senior/Expert,Full-time,212175,USD,212175,US,US,100,Medium
2023,Data Engineer,Senior/Expert,Full-time,156000,USD,156000,US,US,100,Medium
2023,Data Engineer,Senior/Expert,Full-time,184000,USD,184000,US,US,0,Medium
2023,Data Engineer,Senior/Expert,Full-time,123000,USD,123000,US,US,0,Medium
2023,Data Analyst,Mid/Intermediate,Full-time,111151,USD,111151,US,US,100,Medium
2023,Data Analyst,Mid/Intermediate,Full-time,66691,USD,66691,US,US,100,Medium
2023,Data Scientist,Senior/Expert,Full-time,190000,USD,190000,US,US,0,Medium
2023,Data Scientist,Senior/Expert,Full-time,138700,USD,138700,US,US,0,Medium
2023,Data Analyst,Senior/Expert,Full-time,95040,USD,95040,US,US,100,Medium
2023,Data Analyst,Senior/Expert,Full-time,59400,USD,59400,US,US,100,Medium
2023,Machine Learning Engineer,Senior/Expert,Full-time,197802,USD,197802,US,US,100,Medium
2023,Machine Learning Engineer,Senior/Expert,Full-time,156453,USD,156453,US,US,100,Medium
2023,Data Scientist,Senior/Expert,Full-time,308000,USD,308000,US,US,0,Medium
2023,Data Scientist,Senior/Expert,Full-time,144000,USD,144000,US,US,0,Medium
2023,Data Quality Analyst,Senior/Expert,Full-time,172000,USD,172000,US,US,0,Medium
2023,Data Quality Analyst,Senior/Expert,Full-time,140000,USD,140000,US,US,0,Medium
2023,Data Engineer,Mid/Intermediate,Full-time,73000,GBP,89819,GB,GB,0,Medium
2023,Data Engineer,Mid/Intermediate,Full-time,59000,GBP,72593,GB,GB,0,Medium
2023,Data Engineer,Mid/Intermediate,Full-time,154000,USD,154000,US,US,0,Medium
2023,Data Engineer,Mid/Intermediate,Full-time,103000,USD,103000,US,US,0,Medium
2023,Data Engineer,Senior/Expert,Full-time,180000,USD,180000,US,US,100,Medium
2023,Data Engineer,Senior/Expert,Full-time,122400,USD,122400,US,US,100,Medium
2023,Research Analyst,Mid/Intermediate,Full-time,80000,USD,80000,US,US,0,Medium
2023,Research Analyst,Mid/Intermediate,Full-time,70000,USD,70000,US,US,0,Medium
2023,Data Analyst,Senior/Expert,Full-time,120000,USD,120000,US,US,0,Medium
2023,Data Analyst,Senior/Expert,Full-time,90000,USD,90000,US,US,0,Medium
2023,Data Engineer,Senior/Expert,Full-time,227500,USD,227500,US,US,100,Medium
2023,Data Engineer,Senior/Expert,Full-time,147500,USD,147500,US,US,100,Medium
2023,Machine Learning Engineer,Mid/Intermediate,Full-time,150000,USD,150000,US,US,100,Medium
2023,Machine Learning Engineer,Mid/Intermediate,Full-time,50000,USD,50000,US,US,100,Medium
2023,Data Engineer,Mid/Intermediate,Full-time,60000,GBP,73824,GB,GB,0,Medium
2023,Data Engineer,Mid/Intermediate,Full-time,45000,GBP,55368,GB,GB,0,Medium
2023,Data Science Engineer,Senior/Expert,Full-time,220000,USD,220000,US,US,100,Medium
2023,Data Science Engineer,Senior/Expert,Full-time,180000,USD,180000,US,US,100,Medium
2023,Machine Learning Engineer,Senior/Expert,Full-time,331640,USD,331640,US,US,0,Medium
2023,Machine Learning Engineer,Senior/Expert,Full-time,267720,USD,267720,US,US,0,Medium
2023,Data Engineer,Mid/Intermediate,Full-time,190000,USD,190000,US,US,100,Medium
2023,Data Engineer,Mid/Intermediate,Full-time,130000,USD,130000,US,US,100,Medium
2023,Data Engineer,Mid/Intermediate,Full-time,150000,USD,150000,US,US,100,Medium
2023,Data Engineer,Mid/Intermediate,Full-time,50000,USD,50000,US,US,100,Medium
2023,Analytics Engineer,Mid/Intermediate,Full-time,172200,USD,172200,US,US,100,Medium
2023,Analytics Engineer,Mid/Intermediate,Full-time,131200,USD,131200,US,US,100,Medium
2023,Data Strategy Manager,Senior/Expert,Full-time,250000,USD,250000,US,US,100,Medium
2023,Data Strategy Manager,Senior/Expert,Full-time,100000,USD,100000,US,US,100,Medium
2023,Data Engineer,Senior/Expert,Full-time,165000,USD,165000,US,US,100,Medium
2023,Data Analyst,Senior/Expert,Full-time,155000,USD,155000,US,US,0,Medium
2023,Data Analyst,Senior/Expert,Full-time,280000,USD,280000,US,US,0,Medium
2023,Data Analyst,Senior/Expert,Full-time,200000,USD,200000,US,US,0,Medium
2023,Data Manager,Mid/Intermediate,Full-time,60000,GBP,73824,GB,GB,0,Medium
2023,Data Manager,Mid/Intermediate,Full-time,55000,GBP,67672,GB,GB,0,Medium
2023,Data Scientist,Senior/Expert,Full-time,290000,USD,290000,US,US,0,Medium
2023,Data Scientist,Senior/Expert,Full-time,173200,USD,173200,US,US,0,Medium
2023,Data Scientist,Senior/Expert,Full-time,235000,USD,235000,US,US,100,Medium
2023,Data Scientist,Senior/Expert,Full-time,204000,USD,204000,US,US,100,Medium
2023,Machine Learning Scientist,Senior/Expert,Full-time,300000,USD,300000,US,US,0,Medium
2023,Machine Learning Scientist,Senior/Expert,Full-time,222000,USD,222000,US,US,0,Medium
2023,Analytics Engineer,Senior/Expert,Full-time,160000,USD,160000,US,US,0,Medium
2023,Analytics Engineer,Senior/Expert,Full-time,136000,USD,136000,US,US,0,Medium
2023,Data Architect,Senior/Expert,Full-time,206000,USD,206000,US,US,0,Medium
2023,Data Architect,Senior/Expert,Full-time,134000,USD,134000,US,US,0,Medium
2023,Data Scientist,Senior/Expert,Full-time,155000,USD,155000,CA,CA,0,Medium
2023,Data Scientist,Senior/Expert,Full-time,105000,USD,105000,CA,CA,0,Medium
